번호,영역,"영역내
번호",앱 파트,문항 내용,척도,비고
1,물리환경,1,전반(1~11),"나는 업무 중에 근골격계에 부담을 주는 작업(반복 동작, 중량물 취급 등)을 한다.",4점,일반
2,물리환경,2,전반(1~11),"나는 업무 중에 소음, 진동, 온도 등 나쁜 물리적 환경에 노출된다.",4점,일반
3,물리환경,3,전반(1~11),"나는 업무 중에 유해물질(분진, 화학물질, 방사선 등)에 노출된다.",4점,일반
4,직무요구,1,전반(1~11),나는 일이 많아 항상 시간에 쫓기며 일한다.,4점,일반
5,직무요구,2,전반(1~11),업무량이 현저하게 증가하였다.,4점,일반
6,직무요구,3,전반(1~11),업무를 수행하기 위해 충분한 시간적 여유가 없다.,4점,일반
7,직무요구,4,전반(1~11),나는 여러 가지 일을 동시에 해야 한다.,4점,일반
8,직무요구,5,전반(1~11),업무가 끝난 후에도 업무에 관한 생각을 멈출 수가 없다.,4점,일반
9,직무요구,6,전반(1~11),나는 업무 중에 타인의 신체적·언어적 폭력에 노출된다.,4점,일반
10,직무요구,7,전반(1~11),내 업무는 감정적으로 힘든 상황을 자주 경험하게 한다.,4점,일반
11,직무요구,8,전반(1~11),"내 업무는 신체적 노력(힘, 속도, 지구력)이 매우 많이 필요하다.",4점,일반
12,직무자율,1,전반(1~11),나의 업무는 내가 직접 결정할 수 있는 것이 별로 없다.,4점,일반
13,직무자율,2,전반(1~11),나의 업무에서 창의적인 생각이나 의견을 내기가 어렵다.,4점,일반
14,직무자율,3,전반(1~11),나의 업무수행에 필요한 전문지식이나 기술이 부족하다.,4점,일반
15,직무자율,4,전반(1~11),내 업무는 단조롭고 반복적이다.,4점,일반
16,직무자율,5,전반(1~11),내 업무의 양과 속도를 스스로 조절할 수 있다.,4점,★ 역문항
17,관계갈등,1,전반(1~11),"나는 직장에서 상사(팀장, 임원 등)와 불화가 있다.",4점,일반
18,관계갈등,2,전반(1~11),직장에서 내 의견을 반영할 기회가 거의 없다.,4점,일반
19,관계갈등,3,전반(1~11),나의 업무가 다른 부서 업무와 갈등을 일으킨다.,4점,일반
20,관계갈등,4,전반(1~11),직장에서 동료 또는 상하 간의 관계가 불편하고 어렵다.,4점,일반
21,직업불안정,1,후반(12~22),나의 현재 고용 상태가 안정적이지 않다.,4점,일반
22,직업불안정,2,후반(12~22),나는 현재 직장을 계속 다닐 수 있을지 모르겠다.,4점,일반
23,조직체계,1,후반(12~22),우리 직장에서 내가 하는 일은 인정받고 있다.,4점,★ 역문항
24,조직체계,2,후반(12~22),나의 업무량이 다른 직원과 비교해 크게 다르지 않다.,4점,★ 역문항
25,조직체계,3,후반(12~22),우리 부서와 다른 부서 간에 마찰이 없다.,4점,★ 역문항
26,조직체계,4,후반(12~22),나의 근무환경에 만족한다.,4점,★ 역문항
27,조직체계,5,후반(12~22),"인사제도(승진, 고과, 업무배정 등)가 공정하고 합리적이다.",4점,★ 역문항
28,조직체계,6,후반(12~22),우리 직장에는 근로자 건강을 위한 제도적 장치가 마련되어 있다.,4점,★ 역문항
29,조직체계,7,후반(12~22),우리 직장의 경영방침이 근로자에게 잘 전달되고 있다.,4점,★ 역문항
30,보상부적절,1,후반(12~22),"나의 직업은 내가 기대하는 만큼의 보상(급여, 승진, 명예 등)이 주어지지 않는다.",4점,일반
31,보상부적절,2,후반(12~22),나의 능력을 개발하고 발휘할 기회가 부족하다.,4점,일반
32,보상부적절,3,후반(12~22),업무의 내용이 실제 직위나 직급에 어울리지 않는다.,4점,일반
33,직장문화,1,후반(12~22),직장의 분위기가 권위적이고 수직적이다.,4점,일반
34,직장문화,2,후반(12~22),내가 얼마나 열심히 일하는지 직장에서 잘 인정받지 못하는 것 같다.,4점,일반
35,직장문화,3,후반(12~22),성별(남성 또는 여성)이라는 이유로 직장에서 불이익을 받는다.,4점,일반
36,직장문화,4,후반(12~22),회식 또는 직장 모임에서 술을 마시도록 강요받는다.,4점,일반
