레벨,덤벨명,아이콘,"누적 덤벨
(최소)","누적 덤벨
(최대)",레이블,다음 단계,비고
1,나무,🪵,0,149,첫 동작,돌덤벨 · 150 덤벨,
2,돌,🪨,150,349,리듬 시작,청동덤벨 · 350 덤벨,
3,청동,🟤,350,599,리듬,철덤벨 · 600 덤벨,
4,철,⚙️,600,999,단련,"은덤벨 · 1,000 덤벨",
5,은,🥈,1000,1499,습관,"동덤벨 · 1,500 덤벨",
6,동,🥉,1500,2199,숙련,"금덤벨 · 2,200 덤벨",
7,금,🥇,2200,3499,마스터,"다이아덤벨 · 3,500 덤벨",
8,다이아,💎,3500,∞,전설,최고 단계 달성! 🏆,ptMax = Infinity
,,,,,,,
▶ 덤벨 획득 기준,,,,,,,
AM 체크인 완료,+3 덤벨,매일 1회,,,,,
PM 체크인 완료,+3 덤벨,매일 1회,,,,,
낮 체크인 완료,+2 덤벨,매일 1회,,,,,
리추얼 완료 (SHORT),+5 덤벨,완료 즉시,,,,,
리추얼 완료 (HYBRID),+8 덤벨,완료 즉시,,,,,
리추얼 완료 (LONG),+12 덤벨,완료 즉시,,,,,
7일 연속 스트릭,+10 덤벨 보너스,마일스톤 달성 시,,,,,
30일 연속 스트릭,+30 덤벨 보너스,마일스톤 달성 시,,,,,
100일 연속 스트릭,+70 덤벨 보너스,마일스톤 달성 시,,,,,
KOSS 월간 재진단,+20 덤벨,월 1회,,,,,
이달의 나 설정,+10 덤벨,월 1회,,,,,
