상황,조건,추천 근거,참조 데이터,추천 풀,선택 방식,노출 UI,비고
① 신규 사용자 (첫 달),KOSS 진단 완료 직후,KOSS S코드 결과,③ 점수 산정 로직 → 상위 S코드,⑥ RECURRING 1~3순위,상위 S코드 1개 기준 3개 추천,monthly_confirm 리추얼 카드,KOSS 완료 필수
② 기존 사용자 재진단 O,매월 1일 KOSS 재진단 완료,새 KOSS S코드 결과,③ 점수 산정 로직 → 상위 S코드,⑥ RECURRING 1~3순위,동일,monthly_confirm 리추얼 카드,이전 달과 비교 표시
③ 기존 사용자 재진단 X,매월 1일 KOSS 건너뜀,이달의 나 선택 단어,② 역매핑 S코드 컬럼 참조,⑥ RECURRING 1~3순위,역매핑 S코드 기준 3개 추천,emotion_select → monthly_confirm,칩 미선택 시 폴백 ④ 참조
④ 폴백 (칩 미선택),이달의 나 건너뜀,이전 달 S코드 유지,사용자 이력 DB,⑥ RECURRING 1~3순위,직전 달과 동일,monthly_confirm,없으면 S16 (평온) 기본값

S코드,감정 클러스터,사용자 선택 칩,역매핑 S코드,RECURRING 1순위 (개발 우선순위),RECURRING 2순위 (개발 우선순위),RECURRING 3순위 (개발 우선순위),확장 폴백
S01,불안·긴장,조마조마하지 않게 / 불안하지 않게 / 편안하게,S01,마음 근육 훈련 [P1],복식호흡 [P1],바디스캔 명상 [P1],—
S02,걱정·두려움,걱정 없이 / 두려움 없이 / 안심되게,S02,걱정 일기 [P1],인지 재구성 일기 [P1],마음 근육 훈련 [P1],S01
S03,압박·과부하,가볍게 / 여유롭게 / 숨통 트이게,S03,감사 일기 [P2],기분 전환 산책 [P1],즐거운 기억 회상 [P2],S07/S08
S04,완벽주의·실수두려움,유연하게 / 넉넉하게 / 실수해도 되게,S04,친절 실천 챌린지 [P2],감사 편지 쓰기 [P2],소셜 커넥션 체크 [P2],—
S05,자책·죄책감,나를 용서하며 / 따뜻하게 / 내 편으로,S05,강점 일기 [P1],성공 경험 회상 [P2],자기 긍정 확언 [P3],—
S06,자기비난·낮은 자존감,당당하게 / 자신있게 / 나답게,S06,디지털 디톡스 [P1],자연 감상 & 마인드풀 워킹 [P3],기분 전환 산책 [P1],—
S07,번아웃·탈진,충전되게 / 에너지 넘치게 / 살아있게,S07,감정 표현 글쓰기 [P2],즐거운 기억 회상 [P2],자기 위로 글쓰기 [P3],—
S08,무기력·동기저하,씩씩하게 / 활기차게 / 움직이고 싶게,S08,기분 전환 산책 [P1],즐거운 기억 회상 [P2],친절 실천 챌린지 [P2],—
S09,우울감·슬픔,포근하게 / 따뜻하게 / 위로받게,S09,바디스캔 명상 [P1],마음챙김 명상 [P1],복식호흡 [P1],—
S10,외로움·소외감,연결되게 / 다정하게 / 함께하는 느낌으로,S10,인지 재구성 일기 [P1],감정 온도계 [P3],걱정 일기 [P1],—
S11,분노·억울함,시원하게 / 솔직하게 / 내 감정 인정받게,S11,감사 세 줄 [P3],분노 관찰일지 [P3],화해 상상 드로잉 [P3],S09/S12
S12,관계갈등·인정욕구,인정받게 / 있는 그대로 봐주는 느낌으로,S12,소셜 커넥션 체크 [P2],감사 편지 쓰기 [P2],친절 실천 챌린지 [P2],S09/S11
S13,집중·몰입원함,집중되게 / 명확하게 / 맑은 머리로,S13,인지 재구성 일기 [P1],성공 경험 회상 [P2],강점 일기 [P1],—
S14,성취·보람 원함,뿌듯하게 / 해냈다는 느낌으로 / 자랑스럽게,S14,걱정 일기 [P1],마음 근육 훈련 [P1],인지 재구성 일기 [P1],—
S15,자기탐색·성장 원함,나를 알아가며 / 성장하며 / 솔직하게,S15,바디스캔 명상 [P1],긴장 해소 스트레칭 [P3],스트레칭 루틴 [P3],—
S16,평온·안정 원함,차분하게 / 고요하게 / 안정되게,S16,수면 루틴 만들기 [P2],바디스캔 명상 [P1],디지털 디톡스 [P1],—
S17,자유·경쾌함 원함,자유롭게 / 유쾌하게 / 신나게,S17,마음챙김 명상 [P1],디지털 디톡스 [P1],기분 전환 산책 [P1],—
S18,돌봄·위로 원함,따뜻하게 / 돌봄받게 / 내 마음 들어주는 느낌으로,S18,강점 일기 [P1],성공 경험 회상 [P2],기분 전환 산책 [P1],—
