No.,리추얼명,파트,테마,개념 요약,"소요시간
(분)",유형
1,미소 명상,P1,불안,시각화 명상,1,SHORT
2,마음챙김 벨,P1,불안,앱 소리로 생각 끊기,1,SHORT
3,시선고정명상,P1,불안,사물 1분 바라보기,1,SHORT
4,횡경막 호흡,P1,불안,호흡 느끼기,1,SHORT
5,망할 확률 계산기,P1,불안,확률 수치화,2,HYBRID
6,긍정 만약에,P1,불안,최상의 결말 상상,2,HYBRID
7,걱정 유통기한 라벨링,P1,불안,병에 넣어 기한 적기,2,SHORT
8,스트레스 분쇄,P1,불안,종이 파쇄하기,2,SHORT
9,걱정 저금통,P1,불안,저금통에 걱정 맡기기,2,HYBRID
10,333 나비포옹,P1,불안,스스로 토닥이기,1,SHORT
11,미래 그림일기,P1,불안,AI 이미지 생성,3,HYBRID
12,내편일기,P2,자책,나를 무조건 변호,5,LONG
13,미고사,P2,자책,미안/고마워/사랑해 말하기,1,SHORT
14,자존감 칠판,P2,자책,칭찬 메시지 읽기,1,HYBRID
15,공수치 폭풍칭찬,P2,자책,거울 보고 칭찬,1,SHORT
16,오늘의 상장,P2,자책,상장 수여,5,LONG
17,달의 뒷편 롤링페이퍼,P2,자책,단점을 장점으로 재해석,15,LONG
18,지우개 테라피,P2,자책,상처 지우고 다시 쓰기,3,SHORT
19,셀프 하이파이브,P2,자책,현관에서 손뼉 치기,1,SHORT
20,원라인드로잉,P2,자책,하루 선 하나 긋기,2,LONG
21,거절 연습장,P2,자책,거절 멘트 기록,5,LONG
22,투데이 확언,P2,자책,오늘 할 한 걸음 다짐,2,SHORT
23,감정개명,P3,감정,감정에 새 이름 붙이기,2,SHORT
24,마음날씨 기록,P3,감정,외부사건과 기온 분리 기록,3,LONG
25,Y 7 질문법,P3,감정,'왜' 7번 묻기,5,HYBRID
26,객관화일기,P3,감정,사실만 건조하게 기록,5,LONG
27,사실과 견해 분리하기,P3,감정,구분 짓기,3,HYBRID
28,불평일기,P3,감정,감정 쏟아내고 수용,5,LONG
29,긍정해석연습,P3,감정,얻은 것 발견하기,3,SHORT
30,스몰 모닝페이지,P3,감정,3분 생각 쏟기,3,SHORT
31,어른이 그림일기,P3,감정,크레파스로 그림일기,10,LONG
32,마음필사,P3,감정,마음에 닿는 한 줄 쓰기,3,LONG
33,존재소개,P4,자기탐색,'나는 ~다' 채우기,5,LONG
34,나 사용설명서,P4,자기탐색,기질과 회복법 정리,10,LONG
35,나만의 집그리기,P4,자기탐색,욕구 우선순위 파악,10,LONG
36,자기인식 상태점검,P4,자기탐색,장점/고칠 점 균형 확인,5,HYBRID
37,셀프 QnA,P4,자기탐색,질문 카드 답하기,3,HYBRID
38,자문자답 글쓰기,P4,자기탐색,상담자/내담자 아이디 분리,5,LONG
39,과거분석표,P4,자기탐색,선택 패턴 분석,10,LONG
40,에너지 가계부,P4,자기탐색,감정 수입/지출 기록,5,LONG
41,저자소개 독서법,P4,자기탐색,저자 소개 20개 수집,30,LONG
42,모닝 드로잉,P4,자기탐색,1분 감정 그리기,1,SHORT
43,단어 조합 시,P4,자기탐색,랜덤 단어로 시 쓰기,5,HYBRID
44,짝꿍소개,P4,자기탐색,경청 후 타인 소개,10,SHORT
45,연간 편지 릴레이,P4,자기탐색,미래의 나에게 메일,15,LONG
46,바디스캔,P5,무기력,신체 부위 관찰,5,SHORT
47,케렌시아 만들기,P5,무기력,쉴 장소 리스트업,5,HYBRID
48,공간사진 101,P5,무기력,편안한 장소 촬영,2,LONG
49,마이크로산책,P5,무기력,아주 천천히 걷기,5,SHORT
50,빈손산책,P5,무기력,폰 없이 산책,10,SHORT
51,오프먼트,P5,무기력,5분 디지털 디톡스,5,HYBRID
52,백색소음 테이스팅,P5,무기력,나만의 소리 찾기,3,SHORT
53,구부정 사감,P5,무기력,허리 펴기 알람,1,SHORT
54,일몰수집,P5,무기력,노을 사진 찍기,3,LONG
55,스위치 온 키링,P5,무기력,온/오프 물리적 전환,1,SHORT
56,1분 정리,P5,무기력,특정 공간 정리,1,SHORT
57,셀프호텔링,P5,무기력,이불/베개 정돈,2,SHORT
58,한칸 완벽주의,P5,무기력,서랍 한 칸만 정리,3,SHORT
59,셀프디제잉,P5,무기력,아침에 저녁 음악 예약,2,SHORT
60,랜덤독서,P5,무기력,아무 페이지 한 장 읽기,3,SHORT
61,친절 수집장,P6,외로움,받은 호의 기록,3,LONG
62,소확행 박스,P6,외로움,마음 구급함 사용,3,HYBRID
63,타인을 위한 기도,P6,외로움,타인의 이름 호명,2,SHORT
64,셀프안부 스몰톡,P6,외로움,나에게 예약 문자,1,HYBRID
65,생즉카,P6,외로움,생각나면 즉시 카톡,1,SHORT
66,반려 존재 발견하기,P6,외로움,사물/동물에 이름 붙이기,2,LONG
67,사일런스 식사,P6,외로움,첫 다섯 입 집중,3,SHORT
68,발바닥인사,P6,외로움,1분 보행 감각 집중,1,SHORT
69,오늘의 감정단어,P6,외로움,내일의 기분 예고,1,SHORT
70,오늘의 색깔,P6,외로움,하루의 색 정하기,1,SHORT
71,3-2-1 그라운딩,P6,외로움,감각 3-2-1 기록,3,SHORT
72,위시플래너,P6,외로움,하고 싶은 일 한 줄 넣기,3,HYBRID
